Key,English,japanese
TE_meleeToolPaintToolAdmin,"TE Paint Brush",""
TE_meleeToolPaintToolAdminDesc,"Does not require paint.\n\nCan only be used to paint TormentedEmu's new blocks.",""
TE_NewBlock01_WoodGateFortified01,"Wood Gate Fortified 01",""
TE_NewBlock01_WoodGateFortified01Desc,"A fortified wooden gate",""
TE_NewBlock02_WoodDoor02,"Wood Door 02",""
TE_NewBlock02_WoodDoor02Desc,"A sturdy wooden door",""
TE_NewBlock03_WoodGateFortified03,"Wood Gate Fortified 03",""
TE_NewBlock03_WoodGateFortified03Desc,"A fortified wooden gate",""
TE_NewBlock04_StoneWall,"Stone Wall",""
TE_NewBlock04_StoneWallDesc,"A sturdy Stone Wall",""
TE_NewBlock05_Ice01,"Ice 01",""
TE_NewBlock05_Ice01Desc,"A frozen block of Ice.  Looks slippery...",""
TE_NewBlock06_Ice02,"Ice 02",""
TE_NewBlock06_Ice02Desc,"A frozen block of Ice",""
TE_NewBlock07_WoodPlaster09Base01,"Wood on Plaster 09 Base 01",""
TE_NewBlock07_WoodPlaster09Base01Desc,"A Wood on Plaster building block",""
TE_NewBlock08_WhiteMarble,"White Marble",""
TE_NewBlock08_WhiteMarbleDesc,"An illustrious pure White Marble block",""
